5】、7,time,lat,lng,flex,gsr,bpm
400,15:41:47,45.429511,12.361681,28,261,121
401,15:41:47,45.429511,12.361681,12,261,121
402,15:41:55,45.429449,56637.88333,13,274,118
403,15:41:55,45.429449,56637.88333,27,266,116
404,15:41:55,45.429449,56637.88333,14,262,116
405,15:41:55,45.429449,56637.88333,11,257,121
406,15:41:55,45.429449,56637.88333,25,258,122
407,15:42:00,45.429445,12.361752,11,259,120
408,15:42:00,45.429445,12.361752,12,260,122
409,15:42:00,45.429445,12.361752,15,259,121
410,15:42:00,45.429445,12.361752,25,260,114
411,15:42:00,45.429445,12.361752,10,262,122
412,15:42:00,45.429445,12.361752,10,261,120
413,15:42:00,45.429445,12.361752,13,261,119
414,15:42:07,45.429446,12.361799,17,262,122
415,15:42:07,45.429446,12.361799,30,261,119
416,15:42:07,45.429446,12.361799,13,261,121
417,15:42:07,45.429446,12.361799,10,259,121
418,15:42:12,45.429446,12.361799,11,260,121
419,15:42:13,45.429445,12.361889,12,259,121
420,15:42:13,45.429445,12.361889,19,257,121
421,15:42:13,45.429445,12.361889,25,257,121
422,15:42:13,45.429445,12.361889,12,256,117
423,15:42:13,45.429445,12.361889,13,255,113
424,15:42:13,45.429445,12.361889,13,253,95
425,15:42:13,45.429445,12.361889,15,253,108
426,15:42:20,45.429418,12.362003,20,252,97
427,15:42:20,45.429418,12.362003,26,252,107
428,15:42:20,45.429418,12.362003,18,253,116
429,15:42:20,45.429418,12.362003,13,253,116
430,15:42:20,45.429418,12.362003,12,252,119
431,15:42:20,45.429418,12.362003,11,253,121
432,15:42:20,45.429418,12.362003,12,253,119
433,15:42:29,0.929411,12.362158,11,254,123
434,15:42:29,0.929411,12.362158,18,253,118
435,15:42:29,0.929411,12.362158,25,254,122
436,15:42:29,0.929411,12.362158,30,255,119
437,15:42:29,0.929411,12.362158,35,257,117
438,15:42:34,0.929411,12.362158,29,256,122
439,15:42:34,0.929411,12.362158,26,256,121
440,15:42:34,0.929411,12.362158,51,258,121
441,15:42:34,0.929411,12.362158,37,259,121
442,15:42:38,45.429378,12.362223,41,258,113
443,15:42:38,45.429378,12.362223,29,258,121
444,15:42:38,45.429378,12.362223,52,260,117
445,15:42:38,45.429378,12.362223,40,261,122
446,15:42:38,45.429378,12.362223,30,260,122
447,15:42:38,45.429378,12.362223,44,261,117
448,15:42:38,45.429378,12.362223,71,262,119
449,15:42:38,45.429378,12.362223,46,262,121
450,15:42:38,45.429378,12.362223,52,263,120
451,15:42:38,45.429378,12.362223,41,263,121
452,15:42:38,45.429378,12.362223,40,264,121
453,15:42:38,45.429378,12.362223,35,265,119
454,15:42:38,45.429378,12.362223,47,292,118
455,15:42:38,45.429378,12.362223,48,265,121
456,15:42:38,45.429378,12.362223,32,264,119
457,15:42:38,45.429378,12.362223,44,308,121
458,15:42:38,45.429378,12.362223,48,323,121
459,15:42:38,45.429378,12.362223,37,305,113
460,15:42:38,45.429378,12.362223,39,339,121
461,15:42:58,45.429174,12.362355,14,264,123
462,15:42:58,45.429174,12.362355,38,277,120
463,15:42:58,45.429174,12.362355,49,280,118
464,15:42:58,45.429174,12.362355,50,283,122
465,15:42:58,45.429174,12.362355,42,287,121
466,15:43:04,45.429167,12.36247,51,268,121
467,15:43:04,45.429167,12.36247,50,264,119
468,15:43:04,45.429167,12.36247,48,265,120
469,15:43:04,45.429167,12.36247,47,269,119
470,15:43:04,45.429167,12.36247,25,263,117
471,15:43:09,45.429154,12.362569,40,204,119
472,15:43:09,45.429154,12.362569,32,262,113
473,15:43:11,45.429138,12.362594,24,262,120
474,15:43:11,45.429138,12.362594,19,263,124
475,15:43:11,45.429138,12.362594,26,263,122
476,15:43:11,45.429138,12.362594,26,263,121
477,15:43:11,45.429138,12.362594,37,264,124
478,15:43:17,45.429088,12.362613,26,263,121
479,15:43:17,45.429088,12.362613,45,264,121
480,15:43:17,45.429088,12.362613,42,263,115
481,15:43:17,45.429088,12.362613,41,263,123
482,15:43:17,45.429088,12.362613,55,262,120
483,15:43:17,45.429088,12.362613,27,259,121
484,15:43:17,45.429088,12.362613,31,257,119
485,15:43:17,45.429088,12.362613,58,248,123
486,15:43:17,45.429088,12.362613,48,222,122
487,15:43:17,45.429088,12.362613,54,258,119
488,15:43:17,45.429088,12.362613,48,261,116
489,15:43:17,45.429088,12.362613,40,262,118
490,15:43:30,45.428976,12.362642,37,262,122
491,15:43:30,45.428976,12.362642,54,263,121
492,15:43:30,45.428976,12.362642,23,263,120
493,15:43:30,45.428976,12.362642,16,263,121
494,15:43:30,45.428976,12.362642,40,265,121
495,15:43:30,45.428976,12.362642,37,264,120
496,15:43:30,45.428976,12.362642,26,264,121
497,15:43:30,45.428976,12.362642,35,265,123
498,15:43:30,45.428976,12.362642,20,266,119
499,15:43:30,45.428976,12.362642,28,266,124
500,15:43:30,45.428976,12.362642,26,265,120
501,15:43:30,45.428976,12.362642,27,265,118
502,15:43:30,45.428976,12.362642,32,265,120
503,15:43:30,45.428976,12.362642,40,266,121
504,15:43:30,45.428976,12.362642,34,265,121
505,15:43:30,45.428976,12.362642,50,266,121
506,15:43:30,45.428976,12.362642,31,266,119
507,15:43:30,45.428976,12.362642,33,267,120
508,15:43:30,45.428976,12.362642,26,267,118
509,15:43:30,45.428976,12.362642,35,267,121
510,15:43:30,45.428976,12.362642,49,268,120
511,15:43:30,45.428976,12.362642,40,268,121
512,15:43:30,45.428976,12.362642,34,268,121
513,15:43:55,45.428708,12.362721,21,268,118
514,15:43:55,45.428708,12.362721,15,268,123
515,15:43:55,45.428708,12.362721,54,267,118
516,15:43:55,45.428708,12.362721,40,268,116
517,15:43:55,45.428708,12.362721,48,269,119
518,15:43:55,45.428708,12.362721,44,270,123
519,15:43:55,45.428708,12.362721,19,270,121
520,15:43:55,45.428708,12.362721,19,270,122
521,15:43:55,45.428708,12.362721,17,271,121
522,15:43:55,45.428708,12.362721,29,270,121
523,15:43:55,45.428708,12.362721,18,271,119
524,15:44:07,0.711999,12.362775,21,271,114
525,15:44:08,45.42866,12.36278,31,271,121
526,15:44:08,45.42866,12.36278,28,272,119
527,15:44:08,45.42866,12.36278,19,272,120
528,15:44:08,45.42866,12.36278,21,272,121
529,15:44:08,45.42866,12.36278,23,271,121
530,15:44:08,45.42866,12.36278,26,272,121
531,15:44:08,45.42866,12.36278,18,272,119
